City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,yichang,CN,2021-09-13 05:24:26,30.7144,111.2847,91.02,33,6,7.2
230,muros,ES,2021-09-13 05:24:27,42.7762,-9.0603,66.7,95,94,5.19
231,longyearbyen,SJ,2021-09-13 05:24:27,78.2186,15.6401,30.04,86,0,6.91
232,kieta,PG,2021-09-13 05:24:27,-6.2167,155.6333,84.85,69,47,7.78
233,davila,PH,2021-09-13 05:24:28,18.4726,120.5763,91.38,73,93,15.05
234,komsomolskiy,UZ,2021-09-13 05:24:28,40.4272,71.7189,77.72,22,0,4.61
235,poum,NC,2021-09-13 05:24:28,-20.2333,164.0167,73.96,76,7,11.72
236,beloha,MG,2021-09-13 05:24:28,-25.1667,45.05,73.02,55,0,16.42
237,myitkyina,MM,2021-09-13 05:24:29,25.3833,97.4,92.68,54,72,1.99
238,roma,US,2021-09-13 05:22:38,43.2128,-75.4557,69.39,95,90,0.0
239,goundam,ML,2021-09-13 05:24:29,16.4145,-3.6708,84.99,54,81,9.28
240,road town,VG,2021-09-13 05:24:29,18.4167,-64.6167,82.2,78,100,16.11
241,matara,LK,2021-09-13 05:24:30,5.9485,80.5353,81.41,80,98,13.13
242,cradock,ZA,2021-09-13 05:24:30,-32.1642,25.6192,54.52,87,10,4.92
243,khandyga,RU,2021-09-13 05:24:30,62.6667,135.6,65.43,38,65,0.63
244,tallahassee,US,2021-09-13 05:24:31,30.4383,-84.2807,81.63,79,1,9.22
245,lasa,IT,2021-09-13 05:24:31,46.6166,10.7002,63.48,88,60,1.68
246,cap malheureux,MU,2021-09-13 05:24:31,-19.9842,57.6142,73.89,66,40,11.99
247,namibe,AO,2021-09-13 05:21:05,-15.1961,12.1522,63.37,94,17,8.46
248,margate,GB,2021-09-13 05:24:32,51.3813,1.3862,57.69,86,99,9.1
249,ondangwa,NA,2021-09-13 05:24:32,-17.9167,15.95,61.92,25,0,7.14
250,hokitika,NZ,2021-09-13 05:24:32,-42.7167,170.9667,50.86,80,96,7.67
251,hobyo,SO,2021-09-13 05:24:33,5.3505,48.5268,79.27,74,100,23.31
252,bali chak,IN,2021-09-13 05:24:33,22.3667,87.55,82.92,87,100,14.29
253,constitucion,CL,2021-09-13 05:24:33,-35.3333,-72.4167,50.13,85,85,9.64
254,esperance,AU,2021-09-13 05:24:33,-33.8667,121.9,64.24,47,5,3.02
255,saint anthony,US,2021-09-13 05:24:34,45.0205,-93.218,58.62,83,1,0.0
256,biak,ID,2021-09-13 05:24:34,-0.9131,122.8766,80.89,77,61,2.71
257,isangel,VU,2021-09-13 05:24:34,-19.55,169.2667,80.71,69,20,11.5
258,mahebourg,MU,2021-09-13 05:24:35,-20.4081,57.7,73.69,68,75,18.41
259,rocha,UY,2021-09-13 05:24:35,-34.4833,-54.3333,59.45,99,98,5.17
260,san cristobal,VE,2021-09-13 05:24:35,7.7669,-72.225,64.54,96,75,1.97
261,riyadh,SA,2021-09-13 05:20:40,24.6877,46.7219,91.45,16,0,4.61
262,cadca,SK,2021-09-13 05:24:36,49.435,18.789,53.15,94,98,0.92
263,lorengau,PG,2021-09-13 05:24:36,-2.0226,147.2712,83.57,73,97,11.72
264,belmonte,BR,2021-09-13 05:24:36,-15.8631,-38.8828,73.9,86,2,3.49
265,naze,JP,2021-09-13 05:24:37,28.3667,129.4833,83.32,83,100,16.58
266,pevek,RU,2021-09-13 05:24:37,69.7008,170.3133,31.68,93,99,12.57
267,katsuura,JP,2021-09-13 05:24:37,35.1333,140.3,82.51,72,100,16.55
268,erice,IT,2021-09-13 05:24:38,38.037,12.5865,63.36,100,20,4.61
269,hurricane,US,2021-09-13 05:24:38,37.1753,-113.2899,85.03,23,0,1.34
270,greenwood,US,2021-09-13 05:24:38,34.1668,-82.1165,67.06,76,1,3.44
271,puerto madero,MX,2021-09-13 05:24:38,14.7208,-92.4215,75.4,100,40,3.44
272,vaasa,FI,2021-09-13 05:24:39,63.096,21.6158,48.94,81,0,10.36
273,burns lake,CA,2021-09-13 05:24:39,54.2331,-125.7533,47.62,78,100,2.95
274,ha giang,VN,2021-09-13 05:24:39,22.8333,104.9833,96.58,50,60,2.57
275,tommot,RU,2021-09-13 05:24:40,58.9564,126.2925,64.06,46,97,4.32
276,sorland,NO,2021-09-13 05:24:40,67.667,12.6934,44.46,65,45,27.94
277,georgetown,MY,2021-09-13 05:21:21,5.4112,100.3354,82.89,76,40,2.3
278,shache,CN,2021-09-13 05:24:40,38.4167,77.2406,79.61,23,14,6.71
279,mango,US,2021-09-13 05:24:41,27.9797,-82.3065,81.86,92,1,5.75
280,talcahuano,CL,2021-09-13 05:24:41,-36.7167,-73.1167,46.08,93,90,0.0
281,venado,MX,2021-09-13 05:24:41,22.9333,-101.0833,62.98,85,94,5.91
282,lima,PE,2021-09-13 05:24:42,-12.0432,-77.0282,58.14,82,90,6.91
283,wanning,CN,2021-09-13 05:24:42,18.8003,110.3967,87.37,70,97,7.49
284,newport beach,US,2021-09-13 05:24:42,33.6189,-117.9289,84.11,76,1,0.0
285,el tigre,VE,2021-09-13 05:24:43,8.8875,-64.2454,75.61,85,92,10.47
286,songadh,IN,2021-09-13 05:24:43,21.1667,73.5667,75.81,99,100,9.22
287,rio gallegos,AR,2021-09-13 05:24:43,-51.6226,-69.2181,35.65,69,0,20.71
288,souillac,MU,2021-09-13 05:24:43,-20.5167,57.5167,73.78,68,75,18.41
289,pamanukan,ID,2021-09-13 05:24:44,-6.2842,107.8106,87.78,57,100,11.36
290,humberto de campos,BR,2021-09-13 05:24:44,-2.5983,-43.4611,74.14,88,42,5.1
291,ribeira grande,PT,2021-09-13 05:24:44,38.5167,-28.7,69.67,73,93,19.1
292,necochea,AR,2021-09-13 05:24:45,-38.5473,-58.7368,47.89,80,0,5.5
293,dingle,PH,2021-09-13 05:24:45,10.9995,122.6711,86.88,69,100,3.11
294,northam,GB,2021-09-13 05:24:45,51.0333,-4.2167,59.67,96,100,6.98
295,wagar,SD,2021-09-13 05:24:46,16.1525,36.2032,77.81,68,100,11.05
296,mae hong son,TH,2021-09-13 05:24:46,19.3003,97.9685,86.14,66,75,2.3
297,pisco,PE,2021-09-13 05:24:46,-13.7,-76.2167,59.05,82,69,5.75
298,ust-uda,RU,2021-09-13 05:24:47,54.1742,103.0304,62.73,48,84,6.26
299,ola,RU,2021-09-13 05:24:47,59.5833,151.2833,51.21,43,29,6.35
300,pangai,TO,2021-09-13 05:24:47,-19.8,-174.35,78.91,69,20,6.91
301,sao miguel do araguaia,BR,2021-09-13 05:24:48,-13.275,-50.1628,84.83,26,46,2.89
